"name","created_date","giai_dac_biet","giai_nhat","giai_nhi","giai_ba_1","giai_ba_2","giai_tu_1","giai_tu_2","giai_tu_3","giai_tu_4","giai_tu_5","giai_tu_6","giai_tu_7","giai_nam","giai_sau_1","giai_sau_2","giai_sau_3","giai_bay","giai_tam"
NinhThuan,2015/10/09,31956,05903,97764,87668,13039,64438,54563,66516,91164,10397,71951,32899,9441,7646,2923,1826,275,74
NinhThuan,2015/10/02,01629,76885,99409,20574,12477,30022,78690,94286,47891,98734,70343,85693,2762,8727,1082,9159,989,62
NinhThuan,2015/09/25,64478,71784,04492,51971,05928,13235,43351,54262,71685,62149,56180,83422,9971,0983,6368,7138,171,88
NinhThuan,2015/09/18,71158,25954,98744,77303,79238,98281,40321,00338,05502,40241,19389,08382,2908,8668,0985,2426,415,84
NinhThuan,2015/09/11,27037,79712,97242,60417,56471,28163,84811,72215,12774,39872,60489,16808,5479,4040,2588,5208,167,81
NinhThuan,2015/09/04,24811,84195,23046,04969,09494,89230,08976,19148,00742,58606,38021,50888,8091,1081,6343,5164,480,52
NinhThuan,2015/08/28,59230,15947,78358,99888,34395,22476,67795,52407,79683,04638,48793,57987,5994,0966,8115,2422,584,66
NinhThuan,2015/08/21,14795,78902,74604,23963,05860,96110,33658,15525,90560,24755,29628,87497,1850,9899,3660,8235,363,82
NinhThuan,2015/08/14,89358,30294,66179,32574,39052,89522,08682,14491,70972,34971,19544,00975,7282,2358,3719,7682,913,54
NinhThuan,2015/08/07,99663,07968,50750,03180,22011,55563,85232,50405,18323,90096,60409,60219,1890,5094,0482,3394,765,95
NinhThuan,2015/07/31,73921,86304,23934,65140,08019,97068,46912,94186,66038,29990,10646,77753,5594,0039,9219,1215,447,63
NinhThuan,2015/07/24,55792,21754,64651,84319,06799,54842,45819,79954,11192,25443,47510,81893,8682,6820,6684,3310,523,14
NinhThuan,2015/07/17,51156,70100,16923,39354,85807,78267,54268,16488,43941,34696,16941,55557,9044,2590,5125,5474,216,55
NinhThuan,2015/07/10,95090,18586,84420,14485,03608,12553,89310,36148,70917,88286,66258,67839,5459,6703,4954,5436,314,81
NinhThuan,2015/07/03,03415,19373,96222,51122,01762,29530,78814,83691,57106,32688,84453,26705,1071,9454,7282,3000,365,84
NinhThuan,2015/06/26,81769,24033,68282,85908,63580,35952,15439,70503,54632,55724,00748,16108,3450,7341,5932,4823,484,83
NinhThuan,2015/06/19,31832,34158,59496,32014,41588,09288,85498,38383,16916,12863,40948,83784,8093,3188,1191,3673,899,13
NinhThuan,2015/06/12,75922,71345,63911,97814,19260,45019,85559,23064,21357,30402,38230,85180,6868,6959,9139,2297,246,01
NinhThuan,2015/06/05,52752,15063,65034,28567,70479,54186,36693,52642,98146,04285,93173,83196,6095,3893,0364,5395,441,87
